Word,Category
heavy traffic,traffic
traffic jam,traffic
jam,traffic
jams,traffic
bumper,traffic
slow traffic,traffic
mfululizo wa magari,traffic
magari hazisongi,traffic
kuna jam,traffic
accident,accident
accidents,accident
wreckage,accident
wreck,accident
collision,accident
crash,accident
crashs,accident
crashes,accident
ajali,accident
magari zmegongana,accident
zimecrash,accident
zilicrash,accident
rain,rain
flood,rain
flooding,rain
slippery,rain
slipp ,rain
masika,rain
mvua,rain
mtelezo,rain
kuteleza,rain
mtelezo,rain
kuliflood,rain
maji imeshona,rain
kuteleza,rain
